 ,sensor_id,sensor_x,sensor_y,sensor_z,index_finger,thumb,sensor_status,
30:38.9,1,570.15,576,-156.937,652,647,VALID_DATA,枣70
31:14.3,1,538.556,710.962,902.176,667,662,VALID_DATA,枣71
31:25.1,1,715.969,578.381,-431.274,657,652,VALID_DATA,枣71
32:14.3,1,495.562,650.925,1173.579,682,677,VALID_DATA,枣72
32:20.6,1,617.888,774.525,451.905,667,662,VALID_DATA,枣72
32:34.9,1,474.225,612.337,1123.545,667,662,VALID_DATA,枣73
32:42.2,1,428.925,710.25,-93.624,657,652,VALID_DATA,枣73
32:55.4,1,556.069,693.562,708.243,672,667,VALID_DATA,枣74
33:00.8,1,657.431,580.969,-14.157,662,657,VALID_DATA,枣74
33:46.8,1,529.95,686.119,971.691,672,667,VALID_DATA,枣75
33:51.7,1,672.356,687.188,134.37,662,657,VALID_DATA,枣75
34:17.7,1,544.05,861.956,945.433,657,652,VALID_DATA,枣76
34:25.7,1,647.306,1046.606,223.185,647,642,VALID_DATA,枣76
34:59.8,1,569.944,630.994,1213.539,667,662,VALID_DATA,枣77
35:05.6,1,597.788,943.106,249.441,657,652,VALID_DATA,枣77
35:24.1,1,620.438,769.706,1042.294,657,652,VALID_DATA,枣78
35:29.1,1,585.544,980.306,273.339,647,642,VALID_DATA,枣78
36:05.8,1,504.244,692.325,907.682,672,667,VALID_DATA,枣79
36:12.7,1,513.469,619.275,-262.903,662,657,VALID_DATA,枣79
36:43.1,1,484.444,725.663,996.435,667,662,VALID_DATA,枣80
36:57.0,1,367.238,793.144,-1.815,657,652,VALID_DATA,枣80
38:49.3,1,474.863,736.837,856.74,667,662,VALID_DATA,枣81
39:01.3,1,403.481,669.244,359.551,657,652,VALID_DATA,枣81
39:46.4,1,548.025,805.2,781.327,667,662,VALID_DATA,枣82
39:54.4,1,470.288,635.587,501.182,652,647,VALID_DATA,枣82
40:05.9,1,498.038,682.031,1127.206,672,667,VALID_DATA,枣83
40:12.4,1,458.663,742.631,830.574,657,652,VALID_DATA,枣83
41:09.0,1,525.525,740.925,1014.857,677,672,VALID_DATA,枣84
41:13.5,1,441.038,740.1,651.373,667,662,VALID_DATA,枣84
41:24.4,1,625.519,645.056,1057.57,672,667,VALID_DATA,枣85
41:30.9,1,731.625,756.3,-51.486,662,657,VALID_DATA,枣85
42:01.8,1,502.425,542.475,1174.154,677,672,VALID_DATA,枣86
42:06.9,1,529.369,691.725,267.44,667,662,VALID_DATA,枣86
42:40.6,1,429.675,491.494,1296.636,687,682,VALID_DATA,枣87
42:56.0,1,408.375,671.156,557.175,672,667,VALID_DATA,枣87
