Timestamp,Data1,Data2,Data3,,0,-991,0
35:30.2,86.1375,-32.7938,-992.8352,,,,
35:30.2,86.25,-32.6063,-992.805,,,,
35:30.2,86.2125,-32.6063,-992.926,,,,
35:30.2,86.1375,-32.4938,-992.9865,,,,
35:30.3,86.0438,-32.4375,-993.047,,,,
35:30.3,85.9688,-32.55,-992.9865,,,,
35:30.3,85.9313,-32.5125,-993.2285,,,,
35:30.3,85.9312,-32.7188,-993.1075,,,,
35:30.4,85.95,-32.7188,-993.047,,,,
35:30.4,85.8562,-32.8125,-993.1075,,,,
35:30.4,85.8,-32.7938,-993.047,,,,
35:30.4,85.8938,-32.85,-992.9865,,,,
35:30.5,86.025,-32.9062,-992.9866,,,,
35:30.5,86.1375,-32.8688,-992.9866,,,,
35:30.5,86.2687,-32.8312,-992.7748,,,,
35:30.5,86.175,-32.8125,-992.926,,,,
35:30.6,86.175,-32.8125,-992.8049,,,,
35:30.6,86.25,-32.7,-992.7142,,,,
35:30.6,86.4,-32.7375,-992.7747,,,,
35:30.6,86.3812,-32.7938,-992.7747,,,,
35:30.7,86.25,-32.8125,-992.7748,,,,
35:30.7,86.0437,-32.775,-992.7143,,,,
35:30.7,85.9688,-32.8125,-992.7143,,,,
35:30.8,86.0062,-32.7938,-992.5327,,,,
35:30.8,85.9313,-32.8875,-992.6537,,,,
35:30.9,86.0063,-32.9062,-992.7747,,,,
35:30.9,85.9313,-32.775,-992.684,,,,
35:30.9,85.8938,-32.7188,-992.6537,,,,
35:30.9,85.95,-32.6063,-992.4117,,,,
35:31.0,86.0813,-32.625,-992.563,,,,
35:31.0,86.0813,-32.5687,-992.684,,,,
35:31.0,86.0625,-32.625,-992.7445,,,,
35:31.0,86.1188,-32.4938,-992.8353,,,,
35:31.1,86.1,-32.5875,-992.7142,,,,
35:31.1,86.1562,-32.5875,-992.6538,,,,
35:31.1,86.1,-32.55,-992.6537,,,,
35:31.1,86.1938,-32.625,-992.563,,,,
35:31.2,86.3063,-32.6063,-992.442,,,,
35:31.2,86.3063,-32.5875,-992.442,,,,
35:31.2,86.3813,-32.5125,-992.5327,,,,
35:31.2,86.3625,-32.55,-992.3815,,,,
35:31.3,86.3813,-32.4,-992.5024,,,,
35:31.3,86.3625,-32.4562,-992.684,,,,
35:31.3,86.4188,-32.5875,-992.6235,,,,
35:31.3,86.3813,-32.5875,-992.8655,,,,
35:31.4,86.3438,-32.55,-992.8353,,,,
35:31.4,86.3438,-32.5875,-992.8353,,,,
35:31.4,86.3625,-32.6063,-992.684,,,,
35:31.4,86.3625,-32.5687,-992.6537,,,,
35:31.4,86.3813,-32.5687,-992.7445,,,,
35:31.5,86.3813,-32.6437,-992.6538,,,,
35:31.5,86.3625,-32.55,-992.684,,,,
35:31.5,86.3625,-32.5312,-992.8353,,,,
35:31.5,86.325,-32.6063,-992.7445,,,,
35:31.6,86.325,-32.7375,-992.6537,,,,
35:31.6,86.1938,-32.7563,-992.9562,,,,
35:31.6,86.2312,-32.775,-993.0167,,,,
35:31.7,86.1188,-32.8125,-992.9562,,,,
35:31.7,86.1563,-32.6813,-993.0167,,,,
35:31.7,86.175,-32.7188,-993.1982,,,,
35:31.7,86.1938,-32.7,-993.168,,,,
35:31.8,86.175,-32.5688,-993.289,,,,
35:31.8,86.1188,-32.4375,-993.1982,,,,
35:31.8,86.1563,-32.3812,-993.0771,,,,
35:31.8,86.2688,-32.4188,-992.8655,,,,
35:31.9,86.2313,-32.4563,-992.805,,,,
35:31.9,86.3063,-32.5688,-992.805,,,,
35:31.9,86.2688,-32.6063,-992.7445,,,,
35:32.0,86.1937,-32.6438,-992.5933,,,,
35:32.0,86.1375,-32.7375,-992.6537,,,,
35:32.0,86.1,-32.85,-992.7747,,,,
35:32.0,86.1,-32.8125,-992.7142,,,,
35:32.0,85.95,-32.8125,-992.8655,,,,
35:32.1,86.0438,-32.775,-992.8655,,,,
35:32.1,85.9875,-32.8125,-992.6538,,,,
35:32.2,85.8938,-32.6625,-992.5933,,,,
35:32.2,85.9125,-32.5875,-992.6235,,,,
35:32.2,85.95,-32.6813,-992.5327,,,,
35:32.3,86.0813,-32.5875,-992.3513,,,,
35:32.3,86.1188,-32.6063,-992.2302,,,,
35:32.3,86.1375,-32.5687,-992.1697,,,,
35:32.3,86.25,-32.6063,-992.2907,,,,
35:32.3,86.1375,-32.5875,-992.5932,,,,
35:32.4,86.2688,-32.6063,-992.5328,,,,
35:32.4,86.1938,-32.6625,-992.4723,,,,
35:32.4,86.1937,-32.475,-992.4722,,,,
35:32.5,86.1375,-32.475,-992.5024,,,,
35:32.5,86.1,-32.4,-992.4722,,,,
35:32.5,86.1562,-32.3438,-992.5327,,,,
35:32.5,86.0062,-32.3438,-992.442,,,,
35:32.5,86.2125,-32.2313,-992.2908,,,,
35:32.6,86.1375,-32.2875,-992.2,,,,
35:32.6,86.2125,-32.3438,-992.2302,,,,
35:32.6,86.2688,-32.3438,-992.2,,,,
35:32.6,86.25,-32.4563,-992.2302,,,,
35:32.7,86.2875,-32.5125,-992.2604,,,,
35:32.7,86.2688,-32.5688,-992.2,,,,
35:32.7,86.3063,-32.5688,-992.2302,,,,
35:32.7,86.1375,-32.5687,-992.2302,,,,
35:32.8,86.3063,-32.7,-992.2908,,,,
35:32.8,86.3437,-32.7188,-992.3815,,,,
35:32.8,86.25,-32.8875,-992.3513,,,,
35:32.8,86.3063,-32.7188,-992.442,,,,
35:32.9,86.325,-32.7938,-992.4722,,,,
35:32.9,86.325,-32.85,-992.5025,,,,
35:32.9,86.2312,-32.85,-992.2302,,,,
35:33.0,86.2875,-32.925,-992.442,,,,
35:33.0,86.1937,-32.7375,-992.442,,,,
35:33.0,86.1937,-32.6438,-992.563,,,,
35:33.0,86.25,-32.475,-992.8051,,,,
35:33.1,86.3063,-32.475,-992.8958,,,,
35:33.1,86.3438,-32.4,-992.8959,,,,
35:33.1,86.3063,-32.3625,-993.0167,,,,
35:33.1,86.4938,-32.2875,-993.2588,,,,
35:33.2,86.4563,-32.2125,-992.9865,,,,
35:33.2,86.4375,-32.2875,-992.9562,,,,
35:33.2,86.4188,-32.3625,-992.7748,,,,
35:33.3,86.4375,-32.3813,-992.4723,,,,
35:33.3,86.3812,-32.4375,-992.3513,,,,
35:33.3,86.3438,-32.4375,-992.3815,,,,
35:33.4,86.3438,-32.475,-992.2908,,,,
35:33.4,86.1937,-32.55,-992.2302,,,,
35:33.4,86.3063,-32.5875,-992.2604,,,,
35:33.4,86.4,-32.6063,-992.3209,,,,
35:33.5,86.3063,-32.5688,-992.2907,,,,
35:33.5,86.25,-32.5125,-992.442,,,,
35:33.5,86.1375,-32.4938,-992.442,,,,
35:33.5,86.1375,-32.55,-992.321,,,,
35:33.6,86.1938,-32.4563,-992.321,,,,
35:33.6,86.2313,-32.4375,-992.3815,,,,
35:33.6,86.175,-32.4,-992.4722,,,,
35:33.6,86.175,-32.325,-992.4117,,,,
35:33.7,86.2313,-32.325,-992.3815,,,,
35:33.7,86.2875,-32.5125,-992.2605,,,,
35:33.7,86.3438,-32.55,-992.2302,,,,
35:33.7,86.4188,-32.4938,-992.2302,,,,
35:33.8,86.3438,-32.55,-992.2302,,,,
35:33.8,86.4188,-32.6625,-992.0487,,,,
35:33.8,86.3625,-32.7188,-991.9278,,,,
35:33.8,86.2125,-32.7,-992.0488,,,,
35:33.9,86.2313,-32.6438,-991.9883,,,,
35:33.9,86.2125,-32.475,-992.1093,,,,
35:33.9,86.175,-32.475,-992.2,,,,
35:33.9,86.1,-32.5688,-992.321,,,,
35:34.0,85.9875,-32.475,-992.3815,,,,
35:34.0,85.9313,-32.25,-992.684,,,,
35:34.0,85.9313,-32.2313,-992.7747,,,,
35:34.0,86.0063,-32.3438,-992.7747,,,,
35:34.1,85.9125,-32.4375,-992.9562,,,,
35:34.1,85.8375,-32.4375,-992.8352,,,,
35:34.1,85.8188,-32.4938,-992.6537,,,,
35:34.1,85.7438,-32.475,-992.684,,,,
35:34.2,85.8375,-32.5687,-992.563,,,,
35:34.2,85.7812,-32.7,-992.3815,,,,
35:34.2,85.8375,-32.7188,-992.5024,,,,
35:34.2,85.9125,-32.5688,-992.4722,,,,
35:34.3,85.9875,-32.4375,-992.4117,,,,
35:34.3,85.9688,-32.5312,-992.3815,,,,
35:34.3,85.95,-32.4938,-992.5025,,,,
35:34.4,85.9875,-32.4,-992.6235,,,,
35:34.4,85.9313,-32.3813,-992.6537,,,,
35:34.4,85.9688,-32.3438,-992.6235,,,,
35:34.4,85.9125,-32.4,-992.4117,,,,
35:34.5,85.7813,-32.475,-992.2302,,,,
35:34.5,85.8375,-32.55,-992.2302,,,,
35:34.6,85.9875,-32.5875,-992.2,,,,
35:34.6,86.0625,-32.5688,-992.1395,,,,
35:34.6,86.0625,-32.625,-991.837,,,,
35:34.6,86.1563,-32.6063,-991.9277,,,,
35:34.7,86.1563,-32.5875,-991.837,,,,
35:34.7,86.1938,-32.5875,-991.9579,,,,
35:34.7,86.325,-32.6625,-992.2,,,,
35:34.7,86.3063,-32.7375,-992.2605,,,,
35:34.7,86.2125,-32.7562,-992.4117,,,,
35:34.8,86.1188,-32.775,-992.4117,,,,
35:34.8,86.1562,-32.85,-992.5932,,,,
35:34.8,86.1938,-32.85,-992.442,,,,
35:34.9,86.1938,-32.7938,-992.4722,,,,
35:34.9,86.0062,-32.8125,-992.2605,,,,
35:34.9,85.9875,-32.775,-992.1093,,,,
35:34.9,86.0625,-32.7188,-992.1093,,,,
35:34.9,86.1375,-32.6813,-992.079,,,,
35:35.0,86.1563,-32.625,-992.2,,,,
35:35.0,86.175,-32.6063,-992.2,,,,
35:35.0,86.2688,-32.6063,-992.3512,,,,
35:35.0,86.4375,-32.7,-992.2302,,,,
35:35.1,86.55,-32.6063,-992.2907,,,,
35:35.1,86.4,-32.5312,-992.3814,,,,
35:35.1,86.25,-32.5313,-992.2605,,,,
35:35.2,86.2875,-32.5875,-992.1395,,,,
35:35.2,86.4,-32.6438,-991.958,,,,
35:35.2,86.3625,-32.6625,-991.9882,,,,
35:35.2,86.1938,-32.6625,-991.8672,,,,
35:35.3,86.1375,-32.5875,-992.1697,,,,
35:35.3,86.0813,-32.7,-992.3815,,,,
35:35.3,86.1938,-32.7,-992.2303,,,,
35:35.3,86.2125,-32.6063,-992.2302,,,,
35:35.4,86.1375,-32.475,-992.2604,,,,
35:35.4,86.1,-32.4188,-992.3513,,,,
35:35.4,86.0062,-32.2688,-992.3513,,,,
35:35.4,86.025,-32.2125,-992.5328,,,,
35:35.5,85.9125,-32.1938,-992.442,,,,
35:35.5,86.025,-32.1188,-992.3513,,,,
35:35.6,86.0438,-32.0625,-992.5025,,,,
35:35.6,86.0625,-32.175,-992.6235,,,,
35:35.6,85.9875,-32.25,-992.563,,,,
35:35.6,86.0438,-32.3438,-992.6235,,,,
35:35.7,86.1563,-32.4375,-992.563,,,,
35:35.7,86.2875,-32.4562,-992.4117,,,,
35:35.7,86.3063,-32.55,-992.3815,,,,
35:35.7,86.3438,-32.4375,-992.3815,,,,
35:35.8,86.3625,-32.5125,-992.321,,,,
35:35.8,86.3813,-32.4188,-992.2,,,,
35:35.8,86.4375,-32.3625,-992.2606,,,,
35:35.8,86.3625,-32.3063,-992.2605,,,,
35:35.9,86.2688,-32.2875,-992.2303,,,,
35:35.9,86.1562,-32.4,-992.2303,,,,
35:35.9,86.1938,-32.4188,-992.1698,,,,
35:35.9,86.1,-32.5125,-992.0185,,,,
35:36.0,86.025,-32.6063,-992.1093,,,,
35:36.0,86.0625,-32.6438,-992.1697,,,,
35:36.0,85.9875,-32.6625,-992.4118,,,,
35:36.0,86.025,-32.7188,-992.321,,,,
35:36.1,86.1562,-32.7938,-992.1093,,,,
35:36.1,86.0438,-32.6625,-992.1092,,,,
35:36.1,86.0063,-32.6625,-992.2604,,,,
35:36.1,86.0063,-32.6063,-992.2907,,,,
35:36.2,85.9688,-32.5875,-992.2907,,,,
35:36.2,85.9875,-32.6437,-992.1697,,,,
35:36.2,86.0438,-32.5125,-991.9883,,,,
35:36.2,86.0438,-32.4563,-991.9882,,,,
35:36.3,85.95,-32.2875,-992.1697,,,,
35:36.3,86.1938,-32.325,-992.2302,,,,
35:36.3,86.1938,-32.2688,-992.079,,,,
35:36.3,86.175,-32.325,-992.0488,,,,
35:36.4,86.1188,-32.3063,-991.9278,,,,
35:36.4,86.0438,-32.325,-992.079,,,,
35:36.4,86.0438,-32.5312,-992.0488,,,,
35:36.5,86.025,-32.475,-992.0185,,,,
35:36.5,86.025,-32.5875,-992.1395,,,,
35:36.5,85.7438,-32.475,-992.2,,,,
35:36.5,85.6125,-32.4938,-992.2605,,,,
35:36.6,85.6875,-32.475,-992.3815,,,,
35:36.6,85.8563,-32.475,-992.4117,,,,
35:36.6,85.8563,-32.4375,-992.4722,,,,
35:36.7,85.875,-32.325,-992.4117,,,,
35:36.7,85.8938,-32.3063,-992.442,,,,
35:36.7,85.9875,-32.2875,-992.3815,,,,
35:36.8,86.25,-32.4,-992.2303,,,,
35:36.8,86.4938,-32.3625,-992.2303,,,,
35:36.8,86.4938,-32.3063,-992.2908,,,,
35:36.8,86.3812,-32.2688,-992.2303,,,,
35:36.9,86.25,-32.3063,-992.1697,,,,
35:36.9,86.1937,-32.4,-992.321,,,,
35:36.9,86.1562,-32.4,-992.1697,,,,
35:36.9,86.175,-32.3438,-992.1395,,,,
35:37.0,86.025,-32.325,-992.2,,,,
35:37.0,85.8938,-32.4,-992.2302,,,,
35:37.0,85.875,-32.4938,-992.1697,,,,
35:37.0,85.9313,-32.4563,-992.3513,,,,
35:37.1,86.0813,-32.4375,-992.4117,,,,
35:37.1,86.1188,-32.3438,-992.2605,,,,
35:37.1,86.1,-32.4,-992.5025,,,,
35:37.1,86.1,-32.4375,-992.6537,,,,
35:37.2,86.1563,-32.3625,-992.6537,,,,
35:37.2,86.1938,-32.3625,-992.805,,,,
35:37.2,86.25,-32.325,-992.805,,,,
35:37.2,86.2688,-32.325,-992.7143,,,,
35:37.3,86.325,-32.3063,-992.6235,,,,
35:37.3,86.3812,-32.25,-992.805,,,,
35:37.3,86.2688,-32.1375,-992.7747,,,,
35:37.3,86.1937,-32.1563,-992.7444,,,,
35:37.4,86.1937,-32.4,-992.7747,,,,
35:37.4,86.2125,-32.2875,-992.5629,,,,
35:37.4,86.0625,-32.2313,-992.4722,,,,
35:37.4,86.0625,-32.2688,-992.4722,,,,
35:37.5,86.0438,-32.2687,-992.5024,,,,
35:37.5,85.9875,-32.325,-992.2908,,,,
35:37.5,86.1562,-32.4562,-992.3513,,,,
35:37.5,86.1562,-32.5125,-992.321,,,,
35:37.6,86.1375,-32.3812,-992.2302,,,,
35:37.6,86.0625,-32.4188,-992.1395,,,,
35:37.6,86.1375,-32.4938,-992.321,,,,
35:37.6,86.2125,-32.4563,-992.2302,,,,
35:37.7,86.175,-32.3625,-992.1395,,,,
35:37.7,86.2875,-32.4188,-992.4117,,,,
35:37.7,86.2312,-32.4375,-992.4117,,,,
35:37.7,86.25,-32.4375,-992.321,,,,
35:37.8,86.325,-32.4375,-992.4117,,,,
35:37.8,86.2688,-32.5875,-992.5025,,,,
35:37.8,86.325,-32.5875,-992.5933,,,,
35:37.9,86.25,-32.7,-992.5933,,,,
35:37.9,86.175,-32.7375,-992.5933,,,,
35:37.9,86.0625,-32.7563,-992.3513,,,,
35:37.9,86.025,-32.7188,-992.2908,,,,
35:38.0,86.0062,-32.6625,-992.2605,,,,
35:38.0,85.95,-32.6813,-992.2605,,,,
35:38.1,86.0625,-32.5312,-992.2605,,,,
35:38.1,85.9688,-32.5875,-992.0488,,,,
35:38.1,85.9688,-32.55,-992.1395,,,,
35:38.1,86.025,-32.5875,-992.2605,,,,
35:38.2,85.9875,-32.625,-992.321,,,,
35:38.2,86.0813,-32.7,-992.2606,,,,
35:38.2,86.025,-32.6625,-992.2001,,,,
35:38.2,85.9688,-32.6813,-992.1093,,,,
35:38.3,85.8937,-32.7,-992.2907,,,,
35:38.3,85.9125,-32.625,-992.2,,,,
35:38.3,85.9125,-32.6063,-992.2302,,,,
35:38.3,85.9125,-32.5875,-992.0185,,,,
35:38.4,86.0062,-32.55,-992.079,,,,
35:38.4,85.95,-32.4562,-992.1395,,,,
35:38.4,86.0063,-32.4375,-992.321,,,,
35:38.4,86.0438,-32.5312,-992.442,,,,
35:38.5,86.1375,-32.5688,-992.2908,,,,
35:38.5,86.2313,-32.5687,-992.3815,,,,
35:38.5,86.2688,-32.6063,-992.2604,,,,
35:38.5,86.25,-32.625,-992.2604,,,,
35:38.6,86.25,-32.6625,-992.2302,,,,
35:38.6,86.2125,-32.7563,-992.1697,,,,
35:38.6,86.2312,-32.7375,-991.9883,,,,
35:38.6,86.25,-32.7188,-991.837,,,,
35:38.7,86.2125,-32.6813,-991.837,,,,
35:38.7,86.175,-32.7,-991.9277,,,,
35:38.7,86.1188,-32.6438,-991.9278,,,,
35:38.7,86.175,-32.6438,-991.9278,,,,
35:38.8,86.2125,-32.5688,-991.837,,,,
35:38.8,86.2875,-32.4938,-991.7463,,,,
35:38.8,86.175,-32.4938,-991.9277,,,,
35:38.8,86.1375,-32.3438,-992.1395,,,,
35:38.9,86.2125,-32.3812,-992.0184,,,,
35:38.9,86.1375,-32.25,-991.9882,,,,
35:38.9,86.0625,-32.175,-992.0185,,,,
35:38.9,86.0813,-32.2687,-991.9882,,,,
35:39.0,85.95,-32.3625,-992.1395,,,,
35:39.0,85.9875,-32.4,-992.2605,,,,
35:39.0,86.1188,-32.5125,-992.2001,,,,
35:39.1,86.1375,-32.55,-991.9883,,,,
35:39.1,86.0813,-32.5312,-992.2,,,,
35:39.1,86.175,-32.6625,-992.079,,,,
35:39.1,86.2313,-32.6625,-992.0186,,,,
35:39.2,86.1938,-32.5125,-992.2,,,,
35:39.2,86.2688,-32.4563,-992.2605,,,,
35:39.2,86.2125,-32.4188,-992.2302,,,,
35:39.2,86.1938,-32.4563,-992.1697,,,,
35:39.3,86.2312,-32.5125,-992.2,,,,
35:39.3,86.2688,-32.3625,-992.1697,,,,
35:39.3,86.2125,-32.3813,-992.1697,,,,
35:39.3,86.1938,-32.4375,-992.2303,,,,
35:39.4,86.2125,-32.3813,-992.1093,,,,
35:39.4,86.1375,-32.3625,-991.9277,,,,
35:39.4,86.2313,-32.3625,-991.9277,,,,
35:39.5,86.2125,-32.2125,-991.8975,,,,
35:39.5,86.1188,-32.25,-992.0488,,,,
35:39.5,86.175,-32.3438,-991.8672,,,,
35:39.5,86.0813,-32.2313,-991.9278,,,,
35:39.6,86.1938,-32.175,-991.958,,,,
35:39.6,86.175,-32.3063,-991.9277,,,,
