timestamp,sensor_id,sensor_x,sensor_y,sensor_z,index_finger,thumb,sensor_status,,
2025-08-29 18:23:30.525,1,0.231,0.607,0.129,602,577,VALID_DATA
2025-08-29 18:23:42.668,1,0.403,0.336,0.21,572,547,VALID_DATA
2025-08-29 18:24:02.786,1,0.191,0.132,-0.226,587,562,VALID_DATA
2025-08-29 18:24:11.366,1,0.998,0.294,0.452,572,547,VALID_DATA
2025-08-29 18:24:18.883,1,0.293,-0.518,-0.233,567,542,VALID_DATA
2025-08-29 18:24:23.871,1,0.118,-0.717,-0.245,552,527,VALID_DATA
2025-08-29 18:24:36.974,1,0.139,0.439,0.0,522,497,VALID_DATA
2025-08-29 18:24:46.065,1,0.349,0.284,-0.216,572,547,VALID_DATA
2025-08-29 18:24:49.898,1,0.657,0.167,0.0,547,522,VALID_DATA
2025-08-29 18:24:55.247,1,0.088,0.181,-0.158,507,482,VALID_DATA
2025-08-29 18:25:08.665,1,0.17,0.0,0.848,637,612,VALID_DATA
2025-08-29 18:25:11.600,1,0.083,-0.157,1.513,617,592,VALID_DATA
